操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-11-07,15:00:00,300062,中能电气,sell,11.380,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11122.62
2025-11-13,09:30:00,300318,博晖创新,buy,7.620,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11117.62
2025-11-14,15:00:00,300318,博晖创新,sell,7.800,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11148.62
2025-12-05,09:30:00,002589,瑞康医药,buy,3.990,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11143.62
2025-12-08,15:00:00,002589,瑞康医药,sell,4.690,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11488.62
2025-12-10,09:30:00,002512,达华智能,buy,7.840,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11483.62
2025-12-11,15:00:00,002512,达华智能,sell,7.240,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11358.62
2025-12-15,09:30:00,300265,通光线缆,buy,14.510,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11353.62
2025-12-16,15:00:00,300265,通光线缆,sell,14.520,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11349.62
2025-12-19,09:30:00,600280,中央商场,buy,4.700,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11344.62
2025-12-22,15:00:00,600280,中央商场,sell,4.890,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11415.62
2026-01-13,09:30:00,300063,天龙集团,buy,15.610,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11410.62
2026-01-14,15:00:00,300063,天龙集团,sell,17.430,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11587.62
2026-01-21,09:30:00,002201,九鼎新材,buy,14.100,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11582.62
2026-01-22,15:00:00,002201,九鼎新材,sell,13.860,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11553.62
2026-01-28,09:30:00,300639,凯普生物,buy,8.660,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11548.62
2026-01-29,15:00:00,300639,凯普生物,sell,7.940,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11399.62
2026-02-09,09:30:00,002361,神剑股份,buy,15.520,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11394.62
2026-02-10,15:00:00,002361,神剑股份,sell,14.780,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11315.62
