alpha,threshold,alloc,ret_pct,dd_pct,trades
9,0.62,0.998,874.3006276334575,29.617534522600852,64
9,0.62,0.999,872.7001776334575,29.617534522600852,64
9,0.62,0.9998,873.2983574334576,29.703108810683947,64
9,0.625,0.995,876.717157659,29.560361217005504,64
9,0.625,0.997,879.381437659,29.617534522600852,64
9,0.625,0.998,874.3006276334575,29.617534522600852,64
9,0.625,0.999,872.7001776334575,29.617534522600852,64
9,0.625,0.9998,873.2983574334576,29.703108810683947,64
9,0.63,0.995,876.717157659,29.560361217005504,64
9,0.63,0.997,879.381437659,29.617534522600852,64
9,0.63,0.998,874.3006276334575,29.617534522600852,64
9,0.63,0.999,872.7001776334575,29.617534522600852,64
9,0.63,0.9998,873.2983574334576,29.703108810683947,64
9,0.635,0.995,876.717157659,29.560361217005504,64
9,0.635,0.997,879.381437659,29.617534522600852,64
9,0.635,0.998,874.3006276334575,29.617534522600852,64
9,0.635,0.999,872.7001776334575,29.617534522600852,64
9,0.635,0.9998,873.2983574334576,29.703108810683947,64
9,0.64,0.995,876.717157659,29.560361217005504,64
9,0.64,0.997,879.381437659,29.617534522600852,64
9,0.64,0.998,874.3006276334575,29.617534522600852,64
9,0.64,0.999,872.7001776334575,29.617534522600852,64
9,0.64,0.9998,873.2983574334576,29.703108810683947,64
9,0.645,0.995,876.717157659,29.560361217005504,64
9,0.645,0.997,879.381437659,29.617534522600852,64
9,0.645,0.998,874.3006276334575,29.617534522600852,64
9,0.645,0.999,872.7001776334575,29.617534522600852,64
9,0.645,0.9998,873.2983574334576,29.703108810683947,64
9,0.65,0.995,876.717157659,29.560361217005504,64
9,0.65,0.997,879.381437659,29.617534522600852,64
9,0.65,0.998,874.3006276334575,29.617534522600852,64
9,0.65,0.999,872.7001776334575,29.617534522600852,64
9,0.65,0.9998,873.2983574334576,29.703108810683947,64
9,0.655,0.995,876.717157659,29.560361217005504,64
9,0.655,0.997,879.381437659,29.617534522600852,64
9,0.655,0.998,874.3006276334575,29.617534522600852,64
9,0.655,0.999,872.7001776334575,29.617534522600852,64
9,0.655,0.9998,873.2983574334576,29.703108810683947,64
9,0.66,0.995,876.717157659,29.560361217005504,64
9,0.66,0.997,879.381437659,29.617534522600852,64
9,0.66,0.998,874.3006276334575,29.617534522600852,64
9,0.66,0.999,872.7001776334575,29.617534522600852,64
9,0.66,0.9998,873.2983574334576,29.703108810683947,64
9,0.665,0.995,876.717157659,29.560361217005504,64
9,0.665,0.997,879.381437659,29.617534522600852,64
9,0.665,0.998,874.3006276334575,29.617534522600852,64
9,0.665,0.999,872.7001776334575,29.617534522600852,64
9,0.665,0.9998,873.2983574334576,29.703108810683947,64
9,0.67,0.995,876.717157659,29.560361217005504,64
9,0.67,0.997,879.381437659,29.617534522600852,64
9,0.67,0.998,874.3006276334575,29.617534522600852,64
9,0.67,0.999,872.7001776334575,29.617534522600852,64
9,0.67,0.9998,873.2983574334576,29.703108810683947,64
9,0.675,0.995,876.717157659,29.560361217005504,64
9,0.675,0.997,879.381437659,29.617534522600852,64
9,0.675,0.998,874.3006276334575,29.617534522600852,64
9,0.675,0.999,872.7001776334575,29.617534522600852,64
9,0.675,0.9998,873.2983574334576,29.703108810683947,64
9,0.68,0.995,876.717157659,29.560361217005504,64
9,0.68,0.997,879.381437659,29.617534522600852,64
9,0.68,0.998,874.3006276334575,29.617534522600852,64
9,0.68,0.999,872.7001776334575,29.617534522600852,64
9,0.68,0.9998,873.2983574334576,29.703108810683947,64
9,0.685,0.995,876.717157659,29.560361217005504,64
9,0.685,0.997,879.381437659,29.617534522600852,64
9,0.685,0.998,874.3006276334575,29.617534522600852,64
9,0.685,0.999,872.7001776334575,29.617534522600852,64
9,0.685,0.9998,873.2983574334576,29.703108810683947,64
9,0.69,0.995,876.717157659,29.560361217005504,64
9,0.69,0.997,879.381437659,29.617534522600852,64
9,0.69,0.998,874.3006276334575,29.617534522600852,64
9,0.69,0.999,872.7001776334575,29.617534522600852,64
9,0.69,0.9998,873.2983574334576,29.703108810683947,64
9,0.695,0.995,876.717157659,29.560361217005504,64
9,0.695,0.997,879.381437659,29.617534522600852,64
9,0.695,0.998,874.3006276334575,29.617534522600852,64
9,0.695,0.999,872.7001776334575,29.617534522600852,64
9,0.695,0.9998,873.2983574334576,29.703108810683947,64
9,0.7,0.995,876.717157659,29.560361217005504,64
9,0.7,0.997,879.381437659,29.617534522600852,64
9,0.7,0.998,874.3006276334575,29.617534522600852,64
9,0.7,0.999,872.7001776334575,29.617534522600852,64
9,0.7,0.9998,873.2983574334576,29.703108810683947,64
10,0.55,0.995,1630.3113194308796,18.097637502608848,64
10,0.55,0.997,1621.3693694308797,18.283299140147165,64
10,0.55,0.998,1621.2031119564224,18.24714681310846,64
10,0.55,0.999,1627.963696956422,18.23589402202611,64
10,0.55,0.9998,1628.2241144564218,18.23589402202611,64
10,0.555,0.995,1630.3113194308796,18.097637502608848,64
