stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,16,loss_rebound_t3,2,0.7,0.999,-0.0005,0.0255,0.412,0.275,10,0.06,-70.19296184000004,72.2466733689923,50,-6804.193766119077
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-04-01,18,t2_close,4,0.7,0.9998,-0.001,0.0255,0.406,0.287,10,0.06,-18.95540893000002,43.28533249246261,66,-3277.595308025513
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,15,strong_hold_t3,4,0.64,0.9998,-0.001,0.0255,0.412,0.287,10,0.06,-52.44468573000002,65.67694005976642,61,-5998.077492901971
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,18,t2_close,2,0.64,0.999,-0.0005,0.0255,0.406,0.287,12,0.065,-64.89613168000005,71.49747459054059,56,-6708.993082544872
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,14,strong_hold_t3,4,0.66,0.9998,-0.0005,0.0255,0.412,0.287,10,0.06,-25.579060079999984,50.21616932057758,62,-4115.91937854931
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,18,t2_close,3,0.68,1.0,-0.0005,0.0265,0.412,0.275,12,0.06,7.897685639999974,42.848597970530356,67,-3198.334070823643
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-02-01,16,t2_close,4,0.7,0.999,-0.001,0.0255,0.406,0.287,12,0.065,-36.95269540999997,46.9711128664693,68,-3737.886239386316
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,17,loss_rebound_t3,4,0.62,0.9998,-0.0005,0.0255,0.406,0.287,12,0.065,35.169589549999934,38.86162138623502,66,-2692.624976798203
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-02-01,17,strong_hold_t3,4,0.66,1.0,-0.0005,0.0265,0.412,0.275,10,0.06,119.62437992999999,29.16333449184922,65,-1444.3757590919065
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,18,loss_rebound_t3,2,0.64,0.9998,-0.001,0.0255,0.406,0.287,10,0.065,-68.82819470000004,73.30037073649045,51,-6929.272683078854
