top_k,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
2,0.65,0.995,-0.001,0.0275,1094.0361109403273,27.944284930846237,57
2,0.65,0.995,-0.0005,0.0255,1094.0361109403273,27.944284930846237,57
2,0.65,0.995,-0.0005,0.0265,1094.0361109403273,27.944284930846237,57
2,0.65,0.995,-0.0005,0.0275,1094.0361109403273,27.944284930846237,57
2,0.65,0.995,0.0,0.0255,976.3556334403274,27.944284930846237,57
2,0.65,0.995,0.0,0.0265,976.3556334403274,27.944284930846237,57
2,0.65,0.995,0.0,0.0275,976.3556334403274,27.944284930846237,57
2,0.65,0.998,-0.001,0.0255,1114.0383034658694,27.93417352535012,57
2,0.65,0.998,-0.001,0.0265,1114.0383034658694,27.93417352535012,57
2,0.65,0.998,-0.001,0.0275,1114.0383034658694,27.93417352535012,57
2,0.65,0.998,-0.0005,0.0255,1114.0383034658694,27.93417352535012,57
2,0.65,0.998,-0.0005,0.0265,1114.0383034658694,27.93417352535012,57
2,0.65,0.998,-0.0005,0.0275,1114.0383034658694,27.93417352535012,57
2,0.65,0.998,0.0,0.0255,995.4175809658695,27.93417352535012,57
2,0.65,0.998,0.0,0.0265,995.4175809658695,27.93417352535012,57
2,0.65,0.998,0.0,0.0275,995.4175809658695,27.93417352535012,57
2,0.65,0.9998,-0.001,0.0255,1119.3367059658692,27.93417352535012,57
2,0.65,0.9998,-0.001,0.0265,1119.3367059658692,27.93417352535012,57
2,0.65,0.9998,-0.001,0.0275,1119.3367059658692,27.93417352535012,57
2,0.65,0.9998,-0.0005,0.0255,1119.3367059658692,27.93417352535012,57
2,0.65,0.9998,-0.0005,0.0265,1119.3367059658692,27.93417352535012,57
