stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,4,0.62,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,443.2420644114501,31.9732717383115,63,-1457.95054418593
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,2,0.66,0.9998,-0.001,0.0255,0.406,0.275,12,0.065,266.34938592263956,54.70838600444395,54,-4363.056934610636
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,4,0.64,1.0,-0.001,0.0255,0.406,0.275,10,0.065,1049.4338484138727,39.18381787767662,66,-1717.0242969073213
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,strong_hold_t3,2,0.64,0.999,-0.001,0.0255,0.406,0.275,10,0.06,315.8774831364899,36.4515055698792,55,-2122.7031852490145
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,4,0.66,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,741.7494364203153,31.17382620363473,67,-1063.5097080158523
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,t2_close,4,0.66,0.999,-0.001,0.0255,0.412,0.287,10,0.065,587.3439876438824,35.75367282618289,65,-1767.496751498065
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,t2_close,4,0.62,0.999,-0.0005,0.0265,0.406,0.275,12,0.06,371.5944233354498,40.47216420134666,67,-2549.4652808261494
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,3,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.065,1353.23487023893,22.386077150306637,58,602.5056122021334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,3,0.68,1.0,-0.0005,0.0265,0.406,0.287,10,0.065,1353.23487023893,22.386077150306637,58,602.5056122021334
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,4,0.7,0.999,-0.0005,0.0255,0.412,0.275,12,0.065,795.667266939385,39.18381787767662,67,-1970.790878381809
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,3,0.66,0.999,-0.0005,0.0265,0.412,0.287,12,0.06,776.1555532023799,32.20287141604272,60,-1152.5890167227465
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,3,0.68,1.0,-0.001,0.0255,0.406,0.287,10,0.065,572.5146180378774,24.426478843286272,64,-423.0628431564753
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,3,0.64,0.999,-0.0005,0.0255,0.406,0.287,12,0.06,741.1507032023798,36.6114629430931,59,-1716.6248499687927
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,2,0.64,0.9998,-0.0005,0.0265,0.406,0.287,12,0.065,377.44355496069517,36.09904785641505,58,-2018.8421878091108
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.66,1.0,-0.001,0.0255,0.406,0.275,10,0.06,3068.8516971339723,16.012467488406898,63,3068.8516971339723
