variant,seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,419,2024-07-01,15,0.6,0.9998,-0.001,0.0255,46.00641114999993,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,15,0.6,0.9998,-0.0005,0.0265,12.92671625999995,37.08200046870668,60
mlp_h48_e300_gt0,419,2024-07-01,15,0.64,0.998,-0.001,0.0255,46.00641114999993,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,15,0.64,0.998,-0.0005,0.0265,4.976716260000003,37.08200046870668,60
mlp_h48_e300_gt0,419,2024-07-01,15,0.64,0.9998,-0.001,0.0255,46.00641114999993,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,15,0.64,0.9998,-0.0005,0.0265,12.92671625999995,37.08200046870668,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.58,0.998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.58,0.998,-0.0005,0.0265,-10.650696050000075,50.67246391755188,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.58,0.9998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.58,0.9998,-0.0005,0.0265,-10.650696050000075,50.67246391755188,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.6,0.998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.6,0.998,-0.0005,0.0265,-10.650696050000075,50.67246391755188,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.6,0.9998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.6,0.9998,-0.0005,0.0265,-10.650696050000075,50.67246391755188,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.64,0.998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.64,0.998,-0.0005,0.0265,-10.650696050000075,50.67246391755188,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.64,0.9998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2024-07-01,16,0.64,0.9998,-0.0005,0.0265,-10.650696050000075,50.67246391755188,60
mlp_h48_e300_gt0,419,2025-01-01,14,0.58,0.998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2025-01-01,14,0.58,0.998,-0.0005,0.0265,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,2025-01-01,14,0.58,0.9998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2025-01-01,14,0.58,0.9998,-0.0005,0.0265,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,2025-01-01,14,0.6,0.998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2025-01-01,14,0.6,0.998,-0.0005,0.0265,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,2025-01-01,14,0.6,0.9998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2025-01-01,14,0.6,0.9998,-0.0005,0.0265,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,2025-01-01,14,0.64,0.998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2025-01-01,14,0.64,0.998,-0.0005,0.0265,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,2025-01-01,14,0.64,0.9998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2025-01-01,14,0.64,0.9998,-0.0005,0.0265,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,2025-01-01,15,0.58,0.998,-0.001,0.0255,14.426411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,15,0.58,0.998,-0.0005,0.0265,42.5082334899999,45.654675661707266,62
mlp_h48_e300_gt0,419,2025-01-01,15,0.58,0.9998,-0.001,0.0255,14.426411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,15,0.58,0.9998,-0.0005,0.0265,42.67823348999988,45.654675661707266,62
mlp_h48_e300_gt0,419,2025-01-01,15,0.6,0.998,-0.001,0.0255,14.426411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,15,0.6,0.998,-0.0005,0.0265,42.5082334899999,45.654675661707266,62
mlp_h48_e300_gt0,419,2025-01-01,15,0.6,0.9998,-0.001,0.0255,14.426411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,15,0.6,0.9998,-0.0005,0.0265,42.67823348999988,45.654675661707266,62
mlp_h48_e300_gt0,419,2025-01-01,15,0.64,0.998,-0.001,0.0255,14.426411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,15,0.64,0.998,-0.0005,0.0265,42.5082334899999,45.654675661707266,62
mlp_h48_e300_gt0,419,2025-01-01,15,0.64,0.9998,-0.001,0.0255,14.426411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,42.67823348999988,45.654675661707266,62
mlp_h48_e300_gt0,419,2025-01-01,16,0.58,0.998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,16,0.58,0.998,-0.0005,0.0265,-6.320696050000074,47.878447024233914,60
mlp_h48_e300_gt0,419,2025-01-01,16,0.58,0.9998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,16,0.58,0.9998,-0.0005,0.0265,-6.320696050000074,47.878447024233914,60
mlp_h48_e300_gt0,419,2025-01-01,16,0.6,0.998,-0.001,0.0255,4.556411150000028,42.26396218411989,60
mlp_h48_e300_gt0,419,2025-01-01,16,0.6,0.998,-0.0005,0.0265,-6.320696050000074,47.878447024233914,60
