variant,seed,alpha,threshold,alloc,ret_pct,dd_pct,trades
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.93,-68.41054728,68.90054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.94,-68.62442566,69.11442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.95,-69.54442566,70.03442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.96,-69.57197086,70.06197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.97,-70.50197086,70.99197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.98,-70.99695378999999,71.48695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,0.99,-71.88695378999998,72.37695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.73,1.0,-70.90803702999999,71.39803703,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.9,-66.44556435,66.93556434999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.91,-67.78054728000001,68.27054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.92,-67.73054728000001,68.22054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.93,-68.41054728,68.90054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.94,-68.62442566,69.11442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.95,-69.54442566,70.03442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.96,-69.57197086,70.06197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.97,-70.50197086,70.99197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.98,-70.99695378999999,71.48695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,0.99,-71.88695378999998,72.37695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.74,1.0,-70.90803702999999,71.39803703,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.9,-66.44556435,66.93556434999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.91,-67.78054728000001,68.27054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.92,-67.73054728000001,68.22054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.93,-68.41054728,68.90054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.94,-68.62442566,69.11442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.95,-69.54442566,70.03442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.96,-69.57197086,70.06197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.97,-70.50197086,70.99197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.98,-70.99695378999999,71.48695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,0.99,-71.88695378999998,72.37695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.75,1.0,-70.90803702999999,71.39803703,72
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.9,-39.28591888999999,50.29204734000001,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.91,-39.600901819999976,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.92,-39.62090182,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.93,-40.440901819999986,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.94,-41.990901820000005,52.927664884431394,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.95,-41.044780199999984,51.979980585577735,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.96,-43.00478019999997,53.57115670498421,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.97,-42.472325399999974,52.87457547000002,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.98,-43.99976312999999,54.12416478277314,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,0.99,-45.477308330000014,54.55436840376924,73
mlp_h88_e500_gt1_wd2e4,343,12,0.55,1.0,-45.17730833,55.24719361288457,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.9,-39.28591888999999,50.29204734000001,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.91,-39.600901819999976,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.92,-39.62090182,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.93,-40.440901819999986,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.94,-41.990901820000005,52.927664884431394,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.95,-41.044780199999984,51.979980585577735,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.96,-43.00478019999997,53.57115670498421,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.97,-42.472325399999974,52.87457547000002,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.98,-43.99976312999999,54.12416478277314,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,0.99,-45.477308330000014,54.55436840376924,73
mlp_h88_e500_gt1_wd2e4,343,12,0.56,1.0,-45.17730833,55.24719361288457,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.9,-39.28591888999999,50.29204734000001,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.91,-39.600901819999976,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.92,-39.62090182,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.93,-40.440901819999986,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.94,-41.990901820000005,52.927664884431394,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.95,-41.044780199999984,51.979980585577735,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.96,-43.00478019999997,53.57115670498421,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.97,-42.472325399999974,52.87457547000002,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.98,-43.99976312999999,54.12416478277314,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,0.99,-45.477308330000014,54.55436840376924,73
mlp_h88_e500_gt1_wd2e4,343,12,0.57,1.0,-45.17730833,55.24719361288457,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.9,-39.28591888999999,50.29204734000001,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.91,-39.600901819999976,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.92,-39.62090182,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.93,-40.440901819999986,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.94,-41.990901820000005,52.927664884431394,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.95,-41.044780199999984,51.979980585577735,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.96,-43.00478019999997,53.57115670498421,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.97,-42.472325399999974,52.87457547000002,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.98,-43.99976312999999,54.12416478277314,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,0.99,-45.477308330000014,54.55436840376924,73
mlp_h88_e500_gt1_wd2e4,343,12,0.58,1.0,-45.17730833,55.24719361288457,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.9,-39.28591888999999,50.29204734000001,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.91,-39.600901819999976,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.92,-39.62090182,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.93,-40.440901819999986,51.577030270000016,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.94,-41.990901820000005,52.927664884431394,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.95,-41.044780199999984,51.979980585577735,73
mlp_h88_e500_gt1_wd2e4,343,12,0.59,0.96,-43.00478019999997,53.57115670498421,73
