stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-05-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1009.9267099623078,40.86507671800782,60,-1958.282496198631
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-06-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-06-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-06-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,998.6615549623076,40.80563031508421,61,-1962.4140828477975
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-07-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-07-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-07-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,991.2446773478074,40.80563031508421,62,-1969.8309604622978
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2024-12-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2967.2871870544855,16.035957084464663,64,2967.2871870544855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2024-12-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2967.2871870544855,16.035957084464663,64,2967.2871870544855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1832.8701150857405,18.348642515594296,64,1566.6330132144249
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-01-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2932.8208070544856,16.035957084464663,65,2932.8208070544856
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2955.6267890493855,16.035957084464663,64,2955.6267890493855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1825.28217279184,18.348642515594296,64,1559.0450709205243
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-02-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2967.2871870544855,16.035957084464663,64,2967.2871870544855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-02-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2967.2871870544855,16.035957084464663,64,2967.2871870544855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-02-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1847.1589802918402,18.348642515594296,63,1580.9218784205245
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-03-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2967.2871870544855,16.035957084464663,64,2967.2871870544855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2967.2871870544855,16.035957084464663,64,2967.2871870544855
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1847.1589802918402,18.348642515594296,63,1580.9218784205245
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-04-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2622.510299863497,16.012491024613883,63,2622.510299863497
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2622.510299863497,16.012491024613883,63,2622.510299863497
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1596.7733376082972,18.348642515594296,63,1330.5362357369816
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-05-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,980.2877149623075,40.83536429391975,60,-1984.3560003080631
stage1,88,540,0.02,0.00018,0.01,440,local_alt,2025-06-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1581.0835297254346,40.956122873421684,62,-1398.0512150851675
