stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.66,0.9998,-0.001,0.0255,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.66,0.9998,-0.0005,0.0265,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.58,0.998,-0.001,0.0255,3066.310825964773,15.970330460477403,64,3066.310825964773
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.58,0.998,-0.0005,0.0265,3066.310825964773,15.970330460477403,64,3066.310825964773
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.58,0.999,-0.001,0.0255,3066.3835309647725,15.976528947256623,64,3066.3835309647725
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.58,0.999,-0.0005,0.0265,3066.3835309647725,15.976528947256623,64,3066.3835309647725
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.58,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.58,0.9998,-0.0005,0.0265,3067.704368464772,16.01910595150687,64,3067.704368464772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.998,-0.001,0.0255,3066.310825964773,15.970330460477403,64,3066.310825964773
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.998,-0.0005,0.0265,3066.310825964773,15.970330460477403,64,3066.310825964773
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.999,-0.001,0.0255,3066.3835309647725,15.976528947256623,64,3066.3835309647725
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.999,-0.0005,0.0265,3066.3835309647725,15.976528947256623,64,3066.3835309647725
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.9998,-0.0005,0.0265,3067.704368464772,16.01910595150687,64,3067.704368464772
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.998,-0.001,0.0255,3089.721177133972,15.970330460477403,63,3089.721177133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.998,-0.0005,0.0265,3089.721177133972,15.970330460477403,63,3089.721177133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.999,-0.001,0.0255,3089.7755871339727,15.976528947256623,63,3089.7755871339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.999,-0.0005,0.0265,3089.7755871339727,15.976528947256623,63,3089.7755871339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.9998,-0.001,0.0255,3091.114719633972,16.01910595150687,63,3091.114719633972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.9998,-0.0005,0.0265,3091.114719633972,16.01910595150687,63,3091.114719633972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.64,0.998,-0.001,0.0255,3089.721177133972,15.970330460477403,63,3089.721177133972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.64,0.998,-0.0005,0.0265,3089.721177133972,15.970330460477403,63,3089.721177133972
