stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,520,0.0205,0.0002,0.01,442,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,520,0.0205,0.0002,0.01,442,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,-34.28931995,50.06831638206556,56,-4106.887285797868
stage1,88,500,0.021,0.00016,0.01,442,seed_scan_wd16,15,0.6,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.021,0.00016,0.01,442,seed_scan_wd16,15,0.62,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.021,0.00016,0.01,442,seed_scan_wd16,15,0.64,0.9998,-0.0005,0.0265,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.021,0.00016,0.01,442,seed_scan_wd16,15,0.6,0.998,-0.001,0.0255,-34.28931995,50.06831638206556,56,-4106.887285797868
stage1,88,500,0.0215,0.00022,0.01,442,seed_scan_lr215,15,0.6,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.0215,0.00022,0.01,442,seed_scan_lr215,15,0.62,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.0215,0.00022,0.01,442,seed_scan_lr215,15,0.64,0.9998,-0.0005,0.0265,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.0215,0.00022,0.01,442,seed_scan_lr215,15,0.6,0.998,-0.001,0.0255,-34.28931995,50.06831638206556,56,-4106.887285797868
stage1,84,500,0.021,0.0002,0.01,442,hidden_probe,15,0.6,0.9998,-0.001,0.0255,-3.753572719999998,63.709742635273635,58,-5713.322688952836
stage1,84,500,0.021,0.0002,0.01,442,hidden_probe,15,0.62,0.9998,-0.001,0.0255,-3.753572719999998,63.709742635273635,58,-5713.322688952836
stage1,84,500,0.021,0.0002,0.01,442,hidden_probe,15,0.64,0.9998,-0.0005,0.0265,-53.11224270000001,77.04926168769602,56,-7363.423645223523
stage1,84,500,0.021,0.0002,0.01,442,hidden_probe,15,0.6,0.998,-0.001,0.0255,-0.8435727199999965,63.144419904329986,58,-5642.573961239598
stage1,92,500,0.021,0.0002,0.01,442,hidden_probe,15,0.6,0.9998,-0.001,0.0255,-70.45334293999997,72.6094131053928,59,-6847.982915587137
stage1,92,500,0.021,0.0002,0.01,442,hidden_probe,15,0.62,0.9998,-0.001,0.0255,-70.45334293999997,72.6094131053928,59,-6847.982915587137
stage1,92,500,0.021,0.0002,0.01,442,hidden_probe,15,0.64,0.9998,-0.0005,0.0265,-71.83334293999997,73.91059786550305,59,-7005.505086800366
stage1,92,500,0.021,0.0002,0.01,442,hidden_probe,15,0.6,0.998,-0.001,0.0255,-71.09334293999994,73.24029056484018,59,-6924.328210720822
stage1,88,500,0.021,0.0002,0.01,443,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,256.11477219,33.42701721571109,61,-1819.5272936953309
stage1,88,500,0.021,0.0002,0.01,443,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,256.11477219,33.42701721571109,61,-1819.5272936953309
