round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,17,loss_rebound_t3,4,0.64,0.999,-0.0005,0.0265,0.412,0.275,12,0.06,239.53712156511514,46.6230688174468,67,-3419.631136528501
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,16,strong_hold_t3,3,0.7,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,1353.2165752389296,22.386077150306637,58,602.4873172021331
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,16,strong_hold_t3,4,0.7,0.999,-0.001,0.0255,0.406,0.275,12,0.06,296.76572448015,36.38160750721043,62,-2133.427176385102
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,t2_close,3,0.64,0.9998,-0.0005,0.0265,0.406,0.287,12,0.06,1175.1866679788448,37.32412362064628,65,-1368.1081664987094
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,18,t2_close,4,0.62,0.9998,-0.001,0.0255,0.406,0.275,10,0.06,1291.0165896403278,24.659171142339677,67,267.51605255956645
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.275,10,0.06,2255.41345612727,37.24303394627903,63,-278.15061742621356
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,14,t2_close,4,0.68,0.9998,-0.0005,0.0265,0.412,0.275,12,0.06,574.658723653158,32.034925728617466,69,-1333.9323637809382
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,17,strong_hold_t3,2,0.66,0.9998,-0.0005,0.0255,0.406,0.275,10,0.065,1062.7727858732899,20.699766315203025,56,514.4008280489268
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,17,loss_rebound_t3,3,0.64,0.9998,-0.001,0.0255,0.406,0.275,12,0.06,211.87041752448508,45.56232385742396,63,-3320.0084453663903
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,16,t2_close,3,0.64,1.0,-0.0005,0.0265,0.412,0.287,10,0.065,2297.812050874515,17.469639108895688,63,2137.0553578070326
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,18,t2_close,2,0.62,1.0,-0.0005,0.0265,0.412,0.287,12,0.06,645.4260292867298,48.145334790126185,58,-3196.414145528413
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.0005,0.0255,0.412,0.287,12,0.06,1224.9383846022495,21.013699912678955,64,638.8943950807748
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,17,t2_close,3,0.7,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1157.2686690128492,24.609180898098522,63,139.76696124102637
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,17,strong_hold_t3,4,0.64,1.0,-0.0005,0.0265,0.412,0.275,12,0.065,278.5140039643401,32.17202457153737,64,-1646.5289446201446
1,batch10,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,18,t2_close,3,0.64,0.999,-0.0005,0.0265,0.412,0.287,12,0.06,845.35949222405,24.66793972116093,64,-179.19327431526176
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-39.75300492999997,50.459996661490706,58,-4159.352604308886
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,-39.17300492999997,50.459996661490706,59,-4158.772604308886
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-03-01,15,loss_rebound_t3,3,0.68,0.9998,-0.001,0.0255,0.406,0.287,10,0.06,-39.17300492999997,50.459996661490706,59,-4158.772604308886
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-03-01,14,strong_hold_t3,4,0.66,0.9998,-0.0005,0.0255,0.412,0.275,10,0.065,-42.14171370999998,52.99342094695834,61,-4465.752227345001
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-03-01,18,strong_hold_t3,4,0.7,0.9998,-0.001,0.0255,0.412,0.287,12,0.06,-66.69249177000002,72.85777666034157,64,-6874.025691010989
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-04-01,14,strong_hold_t3,2,0.7,0.999,-0.0005,0.0255,0.406,0.287,12,0.065,18.23762488999998,26.00593385006354,49,-1166.8744371176247
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-05-01,17,t2_close,2,0.62,1.0,-0.0005,0.0255,0.412,0.275,10,0.065,-5.419238450000008,38.809970224032604,47,-2727.0156653339127
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-03-01,17,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.287,12,0.065,-56.16294629000001,56.61934114650954,59,-4914.883883871145
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-04-01,16,loss_rebound_t3,2,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.065,-22.684612679999983,39.87645512016293,51,-2872.259227099552
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-03-01,17,loss_rebound_t3,4,0.62,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,0.7222967899999766,45.780669217011116,62,-3557.358009251334
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-04-01,16,loss_rebound_t3,4,0.66,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,-0.8634276799999507,45.8963766068053,63,-3572.8286204966357
1,batch10,84,460,0.0235,0.000278,0.012,450,random_hp,2025-02-01,14,loss_rebound_t3,2,0.66,0.9998,-0.0005,0.0265,0.412,0.275,10,0.065,6.761049319999923,34.258296745466325,50,-2168.634560135959
