variant,seed,target_gt,hidden,epochs,alpha,top_k,gap_min,gap_max,threshold,alloc,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0265,0.55,0.998,-42.05628646000002,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0265,0.55,0.9998,-42.08628646000001,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0265,0.6,0.998,-42.05628646000002,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0265,0.6,0.9998,-42.08628646000001,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0265,0.65,0.998,-42.05628646000002,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0265,0.65,0.9998,-42.08628646000001,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.025,0.55,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.025,0.55,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.025,0.6,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.025,0.6,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.025,0.65,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.025,0.65,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0255,0.55,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0255,0.55,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0255,0.6,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0255,0.6,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0255,0.65,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0255,0.65,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.026,0.55,0.998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.026,0.55,0.9998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.026,0.6,0.998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.026,0.6,0.9998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.026,0.65,0.998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.026,0.65,0.9998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0265,0.55,0.998,-37.796286460000005,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0265,0.55,0.9998,-35.41628646000001,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0265,0.6,0.998,-37.796286460000005,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0265,0.6,0.9998,-35.41628646000001,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0265,0.65,0.998,-37.796286460000005,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.001,0.0265,0.65,0.9998,-35.41628646000001,66.79994783937954,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.025,0.55,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.025,0.55,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.025,0.6,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.025,0.6,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.025,0.65,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.025,0.65,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.0255,0.55,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.0255,0.55,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.0255,0.6,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.0255,0.6,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.0255,0.65,0.998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.0255,0.65,0.9998,-45.51152713,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.026,0.55,0.998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.026,0.55,0.9998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.026,0.6,0.998,-49.07858262000001,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0005,0.026,0.6,0.9998,-49.07858262000001,63.43488144981697,66
