stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage1,84,560,0.0229,0.000207,0.012,436,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-23.47823508000002,56.4100183524039,60,-4857.080437368468
stage1,84,560,0.0229,0.000207,0.012,436,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-23.47823508000002,56.4100183524039,60,-4857.080437368468
stage1,84,560,0.0229,0.000207,0.012,436,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-32.167899640000016,59.47645968973024,60,-5233.743062407629
stage1,96,460,0.0218,0.000195,0.009,438,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-5.213294569999927,46.42417321252864,59,-3640.5140800734375
stage1,96,460,0.0218,0.000195,0.009,438,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-5.213294569999927,46.42417321252864,59,-3640.5140800734375
stage1,96,460,0.0218,0.000195,0.009,438,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-14.313294569999924,46.42417321252864,59,-3649.6140800734374
stage1,96,460,0.0218,0.000195,0.009,438,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-10.593487129999934,48.15010890478921,59,-3853.0065557047055
stage1,80,500,0.0201,0.000276,0.011,439,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-39.972972740000024,54.41062466000003,54,-4633.647931940003
stage1,80,500,0.0201,0.000276,0.011,439,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-39.972972740000024,54.41062466000003,54,-4633.647931940003
stage1,80,500,0.0201,0.000276,0.011,439,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-35.60259454000004,50.659911020000045,55,-4179.191916940004
stage1,80,500,0.0201,0.000276,0.011,439,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-39.95297274000003,54.39062466000003,54,-4631.227931940004
stage1,96,460,0.0223,0.000161,0.009,439,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,155.55873587681012,47.14707324306858,59,-3566.49005329142
stage1,96,460,0.0223,0.000161,0.009,439,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,155.55873587681012,47.14707324306858,59,-3566.49005329142
stage1,96,460,0.0223,0.000161,0.009,439,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,131.26240523726023,47.875548206341506,59,-3678.2033795237207
stage1,96,460,0.0223,0.000161,0.009,439,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,156.28615034848502,46.80418804643464,59,-3524.6164152236715
stage1,80,560,0.0194,0.00019,0.012,440,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,128.1442815200001,33.06557656728028,57,-1904.1249065536338
stage1,80,560,0.0194,0.00019,0.012,440,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,128.1442815200001,33.06557656728028,57,-1904.1249065536338
stage1,80,560,0.0194,0.00019,0.012,440,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,186.06084189,32.83415683725402,58,-1818.4379785804826
stage1,80,560,0.0194,0.00019,0.012,440,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,128.4457558100001,32.83359437286621,57,-1875.9855689339452
stage1,80,560,0.0229,0.000159,0.009,441,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-32.69287580999997,68.10944706380326,60,-6270.226523466392
stage1,80,560,0.0229,0.000159,0.009,441,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-32.69287580999997,68.10944706380326,60,-6270.226523466392
stage1,80,560,0.0229,0.000159,0.009,441,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-38.130536619999965,69.43645810156963,61,-6434.905508808356
stage1,80,560,0.0229,0.000159,0.009,441,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-32.79287580999997,68.10944706380326,60,-6270.326523466391
stage1,92,460,0.0203,0.000274,0.012,441,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,22.81417152000005,36.725003209522924,56,-2448.586213622751
stage1,92,460,0.0203,0.000274,0.012,441,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,22.81417152000005,36.725003209522924,56,-2448.586213622751
stage1,92,460,0.0203,0.000274,0.012,441,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1.6472533900000697,40.24292318610998,55,-2891.903528943197
stage1,92,460,0.0203,0.000274,0.012,441,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,22.81417152000005,36.725003209522924,56,-2448.586213622751
stage1,88,500,0.0213,0.000275,0.012,442,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-10.008625080000055,35.41063732274099,58,-2323.685103808919
stage1,88,500,0.0213,0.000275,0.012,442,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-10.008625080000055,35.41063732274099,58,-2323.685103808919
stage1,88,500,0.0213,0.000275,0.012,442,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-10.008625080000055,35.41063732274099,58,-2323.685103808919
stage1,88,500,0.0213,0.000275,0.012,442,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-9.87862508000006,35.37071945968091,58,-2318.7649602417096
stage1,96,520,0.0199,0.00023,0.01,443,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,8.06504733000002,52.54590979135323,61,-4361.844127632387
stage1,96,520,0.0199,0.00023,0.01,443,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,8.06504733000002,52.54590979135323,61,-4361.844127632387
stage1,96,520,0.0199,0.00023,0.01,443,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,8.06504733000002,52.54590979135323,61,-4361.844127632387
stage1,96,520,0.0199,0.00023,0.01,443,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,7.225047330000023,53.18262260406221,61,-4439.089665157465
stage1,88,460,0.022,0.000225,0.009,443,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,108.81774886999995,39.62228199609517,61,-2710.2560906614203
stage1,88,460,0.022,0.000225,0.009,443,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,108.81774886999995,39.62228199609517,61,-2710.2560906614203
stage1,88,460,0.022,0.000225,0.009,443,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,128.97821886999995,39.62228199609517,62,-2690.09562066142
stage1,88,460,0.022,0.000225,0.009,443,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,108.93774886999994,39.62228199609517,61,-2710.1360906614204
