操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-08-14,09:30:00,300757,罗博特科,buy,204.989,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",113167.46
2025-08-15,15:00:00,300757,罗博特科,sell,201.460,T+2收盘回撤-1.72%>-5%，T+2收盘卖出 (no intraday-high optimization).,111377.54
2025-08-19,09:30:00,002046,国机精工,buy,34.190,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",111350.19
2025-08-20,15:00:00,002046,国机精工,sell,39.050,T+2收盘回撤14.21%>-5%，T+2收盘卖出 (no intraday-high optimization).,126870.95
2025-08-25,09:30:00,603716,塞力医疗,buy,32.100,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",126839.65
2025-08-26,15:00:00,603716,塞力医疗,sell,36.400,T+2收盘回撤13.40%>-5%，T+2收盘卖出 (no intraday-high optimization).,143574.16
2025-08-29,09:30:00,002109,兴化股份,buy,4.130,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",143538.33
2025-09-01,15:00:00,002109,兴化股份,sell,4.010,T+2收盘回撤-2.91%>-5%，T+2收盘卖出 (no intraday-high optimization).,139339.55
2025-09-08,09:30:00,300450,先导智能,buy,55.010,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",139305.16
2025-09-09,15:00:00,300450,先导智能,sell,56.060,T+2收盘回撤1.91%>-5%，T+2收盘卖出 (no intraday-high optimization).,141895.13
