操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-03-21,09:30:00,000601,韶能股份,buy,5.280,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9255.33
2025-03-24,15:00:00,000601,韶能股份,sell,5.960,T+2收盘回撤12.88%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10202.33
2025-03-27,09:30:00,000048,京基智农,buy,16.419,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10197.33
2025-03-28,15:00:00,000048,京基智农,sell,16.228,T+2收盘回撤-1.17%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10115.74
2025-04-03,09:30:00,603188,亚邦股份,buy,4.130,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10110.74
2025-04-08,15:00:00,603188,亚邦股份,sell,3.490,T+2收盘回撤-8.72%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,8889.74
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",8884.74
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,T+2收盘回撤19.72%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10223.74
2025-04-15,09:30:00,000505,京粮控股,buy,7.188,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10218.74
2025-04-16,15:00:00,000505,京粮控股,sell,7.378,T+2收盘回撤2.64%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10422.10
2025-04-21,09:30:00,002809,红墙股份,buy,9.594,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10417.10
2025-04-22,15:00:00,002809,红墙股份,sell,11.323,T+2收盘回撤18.02%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11795.45
2025-04-25,09:30:00,600969,郴电国际,buy,8.130,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11790.45
2025-04-28,15:00:00,600969,郴电国际,sell,7.990,T+2收盘回撤-1.72%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11631.45
2025-04-30,09:30:00,000815,美利云,buy,13.550,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11626.45
2025-05-06,15:00:00,000815,美利云,sell,14.140,T+2收盘回撤4.35%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11975.45
2025-05-09,09:30:00,000559,万向钱潮,buy,7.679,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11970.45
